33,7,362,382,0,1
7,163,382,381,1,2
163,144,381,380,2,3
144,145,380,374,3,4
145,153,374,373,4,5
153,154,373,390,5,6
154,155,390,249,6,7
155,133,249,263,7,8
133,173,263,466,8,9
173,157,466,388,9,10
157,158,388,387,10,11
158,159,387,386,11,12
159,160,386,385,12,13
160,161,385,384,13,14
161,246,384,398,14,15
246,33,398,362,15,0
